"title","author","subject","abstract","date"
"information extraction in domain and generic documents: findings from heuristic-based and data-driven approaches","shiyu yuan, carlo lipizzi","computation and language","information extraction (ie) plays very important role in natural language processing (nlp) and is fundamental to many nlp applications that used to extract structured information from unstructured text data. heuristic-based searching and data-driven learning are two main stream implementation approaches. however, no much attention has been paid to document genre and length influence on ie tasks. to fill the gap, in this study, we investigated the accuracy and generalization abilities of heuristic-based searching and data-driven to perform two ie tasks: named entity recognition (ner) and semantic role labeling (srl) on domain-specific and generic documents with different length. we posited two hypotheses: first, short documents may yield better accuracy results compared to long documents; second, generic documents may exhibit superior extraction outcomes relative to domain-dependent documents due to training document genre limitations. our findings reveals that no single method demonstrated overwhelming performance in both tasks. for named entity extraction, data-driven approaches outperformed symbolic methods in terms of accuracy, particularly in short texts. in the case of semantic roles extraction, we observed that heuristic-based searching method and data-driven based model with syntax representation surpassed the performance of pure data-driven approach which only consider semantic information. additionally, we discovered that different semantic roles exhibited varying accuracy levels with the same method. this study offers valuable insights for downstream text mining tasks, such as ner and srl, when addressing various document features and genres.",2023-06-30
"dmner: biomedical entity recognition by detection and matching","junyi bian, rongze jiang, weiqi zhai, tianyang huang, hong zhou, shanfeng zhu","computation and language","biomedical named entity recognition (bner) serves as the foundation for numerous biomedical text mining tasks. unlike general ner, bner require a comprehensive grasp of the domain, and incorporating external knowledge beyond training data poses a significant challenge. in this study, we propose a novel bner framework called dmner. by leveraging existing entity representation models sapbert, we tackle bner as a two-step process: entity boundary detection and biomedical entity matching. dmner exhibits applicability across multiple ner scenarios: 1) in supervised ner, we observe that dmner effectively rectifies the output of baseline ner models, thereby further enhancing performance. 2) in distantly supervised ner, combining mrc and autoner as span boundary detectors enables dmner to achieve satisfactory results. 3) for training ner by merging multiple datasets, we adopt a framework similar to ds-ner but additionally leverage chatgpt to obtain high-quality phrases in the training. through extensive experiments conducted on 10 benchmark datasets, we demonstrate the versatility and effectiveness of dmner.",2023-06-27
"chatgpt chemistry assistant for text mining and prediction of mof synthesis","zhiling zheng, oufan zhang, christian borgs, jennifer t. chayes, omar m. yaghi","information retrieval","we use prompt engineering to guide chatgpt in the automation of text mining of metal-organic frameworks (mofs) synthesis conditions from diverse formats and styles of the scientific literature. this effectively mitigates chatgpt's tendency to hallucinate information -- an issue that previously made the use of large language models (llms) in scientific fields challenging. our approach involves the development of a workflow implementing three different processes for text mining, programmed by chatgpt itself. all of them enable parsing, searching, filtering, classification, summarization, and data unification with different tradeoffs between labor, speed, and accuracy. we deploy this system to extract 26,257 distinct synthesis parameters pertaining to approximately 800 mofs sourced from peer-reviewed research articles. this process incorporates our chemprompt engineering strategy to instruct chatgpt in text mining, resulting in impressive precision, recall, and f1 scores of 90-99%. furthermore, with the dataset built by text mining, we constructed a machine-learning model with over 86% accuracy in predicting mof experimental crystallization outcomes and preliminarily identifying important factors in mof crystallization. we also developed a reliable data-grounded mof chatbot to answer questions on chemical reactions and synthesis procedures. given that the process of using chatgpt reliably mines and tabulates diverse mof synthesis information in a unified format, while using only narrative language requiring no coding expertise, we anticipate that our chatgpt chemistry assistant will be very useful across various other chemistry sub-disciplines.",2023-06-20
"persian semantic role labeling using transfer learning and bert-based models","saeideh niksirat aghdam, sayyed ali hossayni, erfan khedersolh sadeh, nasim khozouei, behrouz minaei bidgoli","computation and language","semantic role labeling (srl) is the process of detecting the predicate-argument structure of each predicate in a sentence. srl plays a crucial role as a pre-processing step in many nlp applications such as topic and concept extraction, question answering, summarization, machine translation, sentiment analysis, and text mining. recently, in many languages, unified srl dragged lots of attention due to its outstanding performance, which is the result of overcoming the error propagation problem. however, regarding the persian language, all previous works have focused on traditional methods of srl leading to a drop in accuracy and imposing expensive feature extraction steps in terms of financial resources, time and energy consumption. in this work, we present an end-to-end srl method that not only eliminates the need for feature extraction but also outperforms existing methods in facing new samples in practical situations. the proposed method does not employ any auxiliary features and shows more than 16 (83.16) percent improvement in accuracy against previous methods in similar circumstances.",2023-06-17
"metricprompt: prompting model as a relevance metric for few-shot text classification","hongyuan dong, weinan zhang, wanxiang che","computation and language","prompting methods have shown impressive performance in a variety of text mining tasks and applications, especially few-shot ones. despite the promising prospects, the performance of prompting model largely depends on the design of prompt template and verbalizer. in this work, we propose metricprompt, which eases verbalizer design difficulty by reformulating few-shot text classification task into text pair relevance estimation task. metricprompt adopts prompting model as the relevance metric, further bridging the gap between pre-trained language model's (plm) pre-training objective and text classification task, making possible plm's smooth adaption. taking a training sample and a query one simultaneously, metricprompt captures cross-sample relevance information for accurate relevance estimation. we conduct experiments on three widely used text classification datasets across four few-shot settings. results show that metricprompt outperforms manual verbalizer and other automatic verbalizer design methods across all few-shot settings, achieving new state-of-the-art (sota) performance.",2023-06-15
"curatr: a platform for semantic analysis and curation of historical literary texts","susan leavy, gerardine meaney, karen wade, derek greene","computation and language","the increasing availability of digital collections of historical and contemporary literature presents a wealth of possibilities for new research in the humanities. the scale and diversity of such collections however, presents particular challenges in identifying and extracting relevant content. this paper presents curatr, an online platform for the exploration and curation of literature with machine learning-supported semantic search, designed within the context of digital humanities scholarship. the platform provides a text mining workflow that combines neural word embeddings with expert domain knowledge to enable the generation of thematic lexicons, allowing researches to curate relevant sub-corpora from a large corpus of 18th and 19th century digitised texts.",2023-06-13
"recurrent attention networks for long-text modeling","xianming li, zongxi li, xiaotian luo, haoran xie, xing lee, yingbin zhao, fu lee wang, qing li","computation and language","self-attention-based models have achieved remarkable progress in short-text mining. however, the quadratic computational complexities restrict their application in long text processing. prior works have adopted the chunking strategy to divide long documents into chunks and stack a self-attention backbone with the recurrent structure to extract semantic representation. such an approach disables parallelization of the attention mechanism, significantly increasing the training cost and raising hardware requirements. revisiting the self-attention mechanism and the recurrent structure, this paper proposes a novel long-document encoding model, recurrent attention network (ran), to enable the recurrent operation of self-attention. combining the advantages from both sides, the well-designed ran is capable of extracting global semantics in both token-level and document-level representations, making it inherently compatible with both sequential and classification tasks, respectively. furthermore, ran is computationally scalable as it supports parallelization on long document processing. extensive experiments demonstrate the long-text encoding ability of the proposed ran model on both classification and sequential tasks, showing its potential for a wide range of applications.",2023-06-12
"advancing italian biomedical information extraction with transformers-based models: methodological insights and multicenter practical application","claudio crema, tommaso mario buonocore, silvia fostinelli, enea parimbelli, federico verde, cira fundarò, marina manera, matteo cotta ramusino, marco capelli, alfredo costa, giuliano binetti, riccardo bellazzi, alberto redolfi","computation and language","the introduction of computerized medical records in hospitals has reduced burdensome activities like manual writing and information fetching. however, the data contained in medical records are still far underutilized, primarily because extracting data from unstructured textual medical records takes time and effort. information extraction, a subfield of natural language processing, can help clinical practitioners overcome this limitation by using automated text-mining pipelines. in this work, we created the first italian neuropsychiatric named entity recognition dataset, psynit, and used it to develop a transformers-based model. moreover, we collected and leveraged three external independent datasets to implement an effective multicenter model, with overall f1-score 84.77%, precision 83.16%, recall 86.44%. the lessons learned are: (i) the crucial role of a consistent annotation process and (ii) a fine-tuning strategy that combines classical methods with a ""low-resource"" approach. this allowed us to establish methodological guidelines that pave the way for natural language processing studies in less-resourced languages.",2023-06-08
"analysis of the fed's communication by using textual entailment model of zero-shot classification","yasuhiro nakayama, tomochika sawaki","computation and language","in this study, we analyze documents published by central banks using text mining techniques and propose a method to evaluate the policy tone of central banks. since the monetary policies of major central banks have a broad impact on financial market trends, the pricing of risky assets, and the real economy, market participants are attempting to more accurately capture changes in the outlook for central banks' future monetary policies. since the published documents are also an important tool for the central bank to communicate with the market, they are meticulously elaborated on grammatical syntax and wording, and investors are urged to read more accurately about the central bank's policy stance. sentiment analysis on central bank documents has long been carried out, but it has been difficult to interpret the meaning of the documents accurately and to explicitly capture even the intentional change in nuance. this study attempts to evaluate the implication of the zero-shot text classification method for an unknown economic environment using the same model. we compare the tone of the statements, minutes, press conference transcripts of fomc meetings, and the fed officials' (chair, vice chair, and governors) speeches. in addition, the minutes of the fomc meetings were subjected to a phase analysis of changes in each policy stance since 1971.",2023-06-07
"patient dropout prediction in virtual health: a multimodal dynamic knowledge graph and text mining approach","shuang geng, wenli zhang, jiaheng xie, gemin liang, ben niu","machine learning","virtual health has been acclaimed as a transformative force in healthcare delivery. yet, its dropout issue is critical that leads to poor health outcomes, increased health, societal, and economic costs. timely prediction of patient dropout enables stakeholders to take proactive steps to address patients' concerns, potentially improving retention rates. in virtual health, the information asymmetries inherent in its delivery format, between different stakeholders, and across different healthcare delivery systems hinder the performance of existing predictive methods. to resolve those information asymmetries, we propose a multimodal dynamic knowledge-driven dropout prediction (mdkdp) framework that learns implicit and explicit knowledge from doctor-patient dialogues and the dynamic and complex networks of various stakeholders in both online and offline healthcare delivery systems. we evaluate mdkdp by partnering with one of the largest virtual health platforms in china. mdkdp improves the f1-score by 3.26 percentage points relative to the best benchmark. comprehensive robustness analyses show that integrating stakeholder attributes, knowledge dynamics, and compact bilinear pooling significantly improves the performance. our work provides significant implications for healthcare it by revealing the value of mining relations and knowledge across different service modalities. practically, mdkdp offers a novel design artifact for virtual health platforms in patient dropout management.",2023-06-06
"explaining hate speech classification with model agnostic methods","durgesh nandini, ute schmid","computation and language","there have been remarkable breakthroughs in machine learning and artificial intelligence, notably in the areas of natural language processing and deep learning. additionally, hate speech detection in dialogues has been gaining popularity among natural language processing researchers with the increased use of social media. however, as evidenced by the recent trends, the need for the dimensions of explainability and interpretability in ai models has been deeply realised. taking note of the factors above, the research goal of this paper is to bridge the gap between hate speech prediction and the explanations generated by the system to support its decision. this has been achieved by first predicting the classification of a text and then providing a posthoc, model agnostic and surrogate interpretability approach for explainability and to prevent model bias. the bidirectional transformer model bert has been used for prediction because of its state of the art efficiency over other machine learning models. the model agnostic algorithm lime generates explanations for the output of a trained classifier and predicts the features that influence the model decision. the predictions generated from the model were evaluated manually, and after thorough evaluation, we observed that the model performs efficiently in predicting and explaining its prediction. lastly, we suggest further directions for the expansion of the provided research work.",2023-05-30
"mapping chatgpt in mainstream media to unravel jobs and diversity challenges: early quantitative insights through sentiment analysis and word frequency analysis","maya karanouh","computers and society","the exponential growth in user acquisition and popularity of openais chatgpt, an artificial intelligence(ai) powered chatbot, was accompanied by widespread mainstream media coverage. this article presents a quantitative data analysis of the early trends and sentiments revealed by conducting text mining and nlp methods onto a corpus of 10,902 mainstream news headlines related to the subject of chatgpt and artificial intelligence, from the launch of chatgpt in november 2022 to march 2023. the findings revealed in sentiment analysis, chatgpt and artificial intelligence, were perceived more positively than negatively in the mainstream media. in regards to word frequency results, over sixty-five percent of the top frequency words were focused on big tech issues and actors while topics such as jobs, diversity, ethics, copyright, gender and women were poorly represented or completely absent and only accounted for six percent of the total corpus. this article is a critical analysis into the power structures and collusions between big tech and big media in their hegemonic exclusion of diversity and job challenges from mainstream media.",2023-05-25
"the grammar and syntax based corpus analysis tool for the ukrainian language","daria stetsenko, inez okulska","computation and language","this paper provides an overview of a text mining tool the stylometrix developed initially for the polish language and further extended for english and recently for ukrainian. the stylometrix is built upon various metrics crafted manually by computational linguists and researchers from literary studies to analyze grammatical, stylistic, and syntactic patterns. the idea of constructing the statistical evaluation of syntactic and grammar features is straightforward and familiar for the languages like english, spanish, german, and others; it is yet to be developed for low-resource languages like ukrainian. we describe the stylometrix pipeline and provide some experiments with this tool for the text classification task. we also describe our package's main limitations and the metrics' evaluation procedure.",2023-05-22
"disco: distilled student models co-training for semi-supervised text mining","weifeng jiang, qianren mao, chenghua lin, jianxin li, ting deng, weiyi yang, zheng wang","computation and language","many text mining models are constructed by fine-tuning a large deep pre-trained language model (plm) in downstream tasks. however, a significant challenge nowadays is maintaining performance when we use a lightweight model with limited labelled samples. we present disco, a semi-supervised learning (ssl) framework for fine-tuning a cohort of small student models generated from a large plm using knowledge distillation. our key insight is to share complementary knowledge among distilled student cohorts to promote their ssl effectiveness. disco employs a novel co-training technique to optimize a cohort of multiple small student models by promoting knowledge sharing among students under diversified views: model views produced by different distillation strategies and data views produced by various input augmentations. we evaluate disco on both semi-supervised text classification and extractive summarization tasks. experimental results show that disco can produce student models that are 7.6 times smaller and 4.8 times faster in inference than the baseline plms while maintaining comparable performance. we also show that disco-generated student models outperform the similar-sized models elaborately tuned in distinct tasks.",2023-05-20
"comparing variation in tokenizer outputs using a series of problematic and challenging biomedical sentences","christopher meaney, therese a stukel, peter c austin, michael escobar","computation and language","background & objective: biomedical text data are increasingly available for research. tokenization is an initial step in many biomedical text mining pipelines. tokenization is the process of parsing an input biomedical sentence (represented as a digital character sequence) into a discrete set of word/token symbols, which convey focused semantic/syntactic meaning. the objective of this study is to explore variation in tokenizer outputs when applied across a series of challenging biomedical sentences. method: diaz [2015] introduce 24 challenging example biomedical sentences for comparing tokenizer performance. in this study, we descriptively explore variation in outputs of eight tokenizers applied to each example biomedical sentence. the tokenizers compared in this study are the nltk white space tokenizer, the nltk penn tree bank tokenizer, spacy and scispacy tokenizers, stanza/stanza-craft tokenizers, the udpipe tokenizer, and r-tokenizers. results: for many examples, tokenizers performed similarly effectively; however, for certain examples, there were meaningful variation in returned outputs. the white space tokenizer often performed differently than other tokenizers. we observed performance similarities for tokenizers implementing rule-based systems (e.g. pattern matching and regular expressions) and tokenizers implementing neural architectures for token classification. oftentimes, the challenging tokens resulting in the greatest variation in outputs, are those words which convey substantive and focused biomedical/clinical meaning (e.g. x-ray, il-10, tcr/cd3, cd4+ cd8+, and (ca2+)-regulated). conclusion: when state-of-the-art, open-source tokenizers from python and r were applied to a series of challenging biomedical example sentences, we observed subtle variation in the returned outputs.",2023-05-15
"learner-centered analysis in educational metaverse environments: exploring value exchange systems through natural interaction and text mining","yun-cheng tsai","computers and society","this paper explores the potential developments of self-directed learning in the metaverse in response to education 4.0 and the fourth industrial revolution. it highlights the importance of education keeping up with technological advancements and adopting learner-centered approaches. additionally, it focuses on exploring value exchange systems through natural interaction, text mining, and analysis. the metaverse concept extends beyond extended reality (xr) technologies, encompassing digital avatars and shared ecological value. the role of educators in exploring new technologies and leveraging text-mining techniques to enhance learning efficiency is emphasized. the metaverse is presented as a platform for value exchange, necessitating meaningful and valuable content to attract users. integrating virtual and real-world experiences within the metaverse offers practical applications and contributes to its essence. this paper sheds light on the metaverse's potential to create a learner-centered educational environment and adapt to the evolving landscape of education 4.0. its findings, supported by text mining analysis, contribute to understanding the metaverse's role in shaping education in the fourth industrial revolution.",2023-05-15
"selfdocseg: a self-supervised vision-based approach towards document segmentation","subhajit maity, sanket biswas, siladittya manna, ayan banerjee, josep lladós, saumik bhattacharya, umapada pal","computer vision and pattern recognition","document layout analysis is a known problem to the documents research community and has been vastly explored yielding a multitude of solutions ranging from text mining, and recognition to graph-based representation, visual feature extraction, etc. however, most of the existing works have ignored the crucial fact regarding the scarcity of labeled data. with growing internet connectivity to personal life, an enormous amount of documents had been available in the public domain and thus making data annotation a tedious task. we address this challenge using self-supervision and unlike, the few existing self-supervised document segmentation approaches which use text mining and textual labels, we use a complete vision-based approach in pre-training without any ground-truth label or its derivative. instead, we generate pseudo-layouts from the document images to pre-train an image encoder to learn the document object representation and localization in a self-supervised framework before fine-tuning it with an object detection model. we show that our pipeline sets a new benchmark in this context and performs at par with the existing methods and the supervised counterparts, if not outperforms. the code is made publicly available at: this https url",2023-05-01
"patent mining by extracting functional analysis information modelled as graph structure: a patent knowledge-base collaborative building approach","manal e. helal, mohammed e. helal","databases","patents provide a rich source of information about design innovations. patent mining techniques employ various technologies, such as text mining, machine learning, natural language processing, and ontology-building techniques. an automated graph data modelling method is proposed for extracting functional representations for building a semantic database of patents of mechanical designs. the method has several benefits: the schema-free characteristic of the proposed graph modelling enables the ontology it is based on to evolve and generalise to upper ontologies across technology domains and to specify lower ontologies to more specific domains. graph modelling benefits from enhanced performance of deep queries across many levels of relationships and interactions and provides efficient storage. graph modelling also enables visualisation libraries to use the graph data structure immediately, avoiding the need for graph extraction programs from relational databases. patent/design comparisons are computed by search queries using counting of overlaps of different levels and weights. this work has produced the patmine solidworks add-in \c{opyright}, which compares annotated cad designs with patents and highlights overlapping design concepts. the patent annotation extracts its functional analysis, representing its structure as geometric feature interactions. additional features such as full-text search and semantic search of the patmine patents database are available, and graph analytic methods and machine learning algorithms are enabled and can be implemented as plug-ins in future work. keywords: patent mining; semantic analysis; functional analysis diagrams; graph data modelling; visualisation; similarity scoring; big data analytics; machine learning; artificial intelligence; natural language processing",2023-04-29
"assessing text mining and technical analyses on forecasting financial time series","ali lashgari","econometrics","forecasting financial time series (fts) is an essential field in finance and economics that anticipates market movements in financial markets. this paper investigates the accuracy of text mining and technical analyses in forecasting financial time series. it focuses on the s&p500 stock market index during the pandemic, which tracks the performance of the largest publicly traded companies in the us. the study compares two methods of forecasting the future price of the s&p500: text mining, which uses nlp techniques to extract meaningful insights from financial news, and technical analysis, which uses historical price and volume data to make predictions. the study examines the advantages and limitations of both methods and analyze their performance in predicting the s&p500. the finbert model outperforms other models in terms of s&p500 price prediction, as evidenced by its lower rmse value, and has the potential to revolutionize financial analysis and prediction using financial news data. keywords: arima, bert, finbert, forecasting financial time series, garch, lstm, technical analysis, text mining jel classifications: g4, c8",2023-04-27
"easyner: a customizable easy-to-use pipeline for deep learning- and dictionary-based named entity recognition from medical text","rafsan ahmed, petter berntsson, alexander skafte, salma kazemi rashed, marcus klang, adam barvesten, ola olde, william lindholm, antton lamarca arrizabalaga, pierre nugues, sonja aits","quantitative methods","background medical research generates millions of publications and it is a great challenge for researchers to utilize this information in full since its scale and complexity greatly surpasses human reading capabilities. automated text mining can help extract and connect information spread across this large body of literature but this technology is not easily accessible to life scientists. results here, we developed an easy-to-use end-to-end pipeline for deep learning- and dictionary-based named entity recognition (ner) of typical entities found in medical research articles, including diseases, cells, chemicals, genes/proteins, and species. the pipeline can access and process large medical research article collections (pubmed, cord-19) or raw text and incorporates a series of deep learning models fine-tuned on the huner corpora collection. in addition, the pipeline can perform dictionary-based ner related to covid-19 and other medical topics. users can also load their own ner models and dictionaries to include additional entities. the output consists of publication-ready ranked lists and graphs of detected entities and files containing the annotated texts. an associated script allows rapid inspection of the results for specific entities of interest. as model use cases, the pipeline was deployed on two collections of autophagy-related abstracts from pubmed and on the cord19 dataset, a collection of 764 398 research article abstracts related to covid-19. conclusions the ner pipeline we present is applicable in a variety of medical research settings and makes customizable text mining accessible to life scientists.",2023-04-16
"zero-shot multi-label topic inference with sentence encoders","souvika sarkar, dongji feng, shubhra kanti karmaker santu","computation and language","sentence encoders have indeed been shown to achieve superior performances for many downstream text-mining tasks and, thus, claimed to be fairly general. inspired by this, we performed a detailed study on how to leverage these sentence encoders for the ""zero-shot topic inference"" task, where the topics are defined/provided by the users in real-time. extensive experiments on seven different datasets demonstrate that sentence-bert demonstrates superior generality compared to other encoders, while universal sentence encoder can be preferred when efficiency is a top priority.",2023-04-14
"frenchmedmcqa: a french multiple-choice question answering dataset for medical domain","yanis labrak, adrien bazoge, richard dufour, mickael rouvier, emmanuel morin, béatrice daille, pierre-antoine gourraud","computation and language","this paper introduces frenchmedmcqa, the first publicly available multiple-choice question answering (mcqa) dataset in french for medical domain. it is composed of 3,105 questions taken from real exams of the french medical specialization diploma in pharmacy, mixing single and multiple answers. each instance of the dataset contains an identifier, a question, five possible answers and their manual correction(s). we also propose first baseline models to automatically process this mcqa task in order to report on the current performances and to highlight the difficulty of the task. a detailed analysis of the results showed that it is necessary to have representations adapted to the medical domain or to the mcqa task: in our case, english specialized models yielded better results than generic french ones, even though frenchmedmcqa is in french. corpus, models and tools are available online.",2023-04-09
"multidimensional perceptron for efficient and explainable long text classification","yexiang wang, yating zhang, xiaozhong liu, changlong sun","computation and language","because of the inevitable cost and complexity of transformer and pre-trained models, efficiency concerns are raised for long text classification. meanwhile, in the highly sensitive domains, e.g., healthcare and legal long-text mining, potential model distrust, yet underrated and underexplored, may hatch vital apprehension. existing methods generally segment the long text, encode each piece with the pre-trained model, and use attention or rnns to obtain long text representation for classification. in this work, we propose a simple but effective model, segment-aware multidimensional perceptron (swipe), to replace attention/rnns in the above framework. unlike prior efforts, swipe can effectively learn the label of the entire text with supervised training, while perceive the labels of the segments and estimate their contributions to the long-text labeling in an unsupervised manner. as a general classifier, swipe can endorse different encoders, and it outperforms sota models in terms of classification accuracy and model efficiency. it is noteworthy that swipe achieves superior interpretability to transparentize long text classification results.",2023-04-04
"thematic context vector association based on event uncertainty for twitter","vaibhav khatavkar, swapnil mane, parag kulkarni","computation and language","keyword extraction is a crucial process in text mining. the extraction of keywords with respective contextual events in twitter data is a big challenge. the challenging issues are mainly because of the informality in the language used. the use of misspelled words, acronyms, and ambiguous terms causes informality. the extraction of keywords with informal language in current systems is pattern based or event based. in this paper, contextual keywords are extracted using thematic events with the help of data association. the thematic context for events is identified using the uncertainty principle in the proposed system. the thematic contexts are weighed with the help of vectors called thematic context vectors which signifies the event as certain or uncertain. the system is tested on the twitter covid-19 dataset and proves to be effective. the system extracts event-specific thematic context vectors from the test dataset and ranks them. the extracted thematic context vectors are used for the clustering of contextual thematic vectors which improves the silhouette coefficient by 0.5% than state of art methods namely tf and tf-idf. the thematic context vector can be used in other applications like cyberbullying, sarcasm detection, figurative language detection, etc.",2023-04-04
"informed machine learning, centrality, cnn, relevant document detection, repatriation of indigenous human remains","md abul bashar, richi nayak, gareth knapman, paul turnbull, cressida fforde","computation and language","among the pressing issues facing australian and other first nations peoples is the repatriation of the bodily remains of their ancestors, which are currently held in western scientific institutions. the success of securing the return of these remains to their communities for reburial depends largely on locating information within scientific and other literature published between 1790 and 1970 documenting their theft, donation, sale, or exchange between institutions. this article reports on collaborative research by data scientists and social science researchers in the research, reconcile, renew network (rrr) to develop and apply text mining techniques to identify this vital information. we describe our work to date on developing a machine learning-based solution to automate the process of finding and semantically analysing relevant texts. classification models, particularly deep learning-based models, are known to have low accuracy when trained with small amounts of labelled (i.e. relevant/non-relevant) documents. to improve the accuracy of our detection model, we explore the use of an informed neural network (inn) model that describes documentary content using expert-informed contextual knowledge. only a few labelled documents are used to provide specificity to the model, using conceptually related keywords identified by rrr experts in provenance research. the results confirm the value of using an inn network model for identifying relevant documents related to the investigation of the global commercial trade in indigenous human remains. empirical analysis suggests that this inn model can be generalized for use by other researchers in the social sciences and humanities who want to extract relevant information from large textual corpora.",2023-03-25
"chatgpt as the transportation equity information source for scientific writing","boniphace kutela, shoujia li, subasish das, jinli liu","information retrieval","transportation equity is an interdisciplinary agenda that requires both transportation and social inputs. traditionally, transportation equity information are sources from public libraries, conferences, televisions, social media, among other. artificial intelligence (ai) tools including advanced language models such as chatgpt are becoming favorite information sources. however, their credibility has not been well explored. this study explored the content and usefulness of chatgpt-generated information related to transportation equity. it utilized 152 papers retrieved through the web of science (wos) repository. the prompt was crafted for chatgpt to provide an abstract given the title of the paper. the chatgpt-based abstracts were then compared to human-written abstracts using statistical tools and unsupervised text mining. the results indicate that a weak similarity between chatgpt and human-written abstracts. on average, the human-written abstracts and chatgpt generated abstracts were about 58% similar, with a maximum and minimum of 97% and 1.4%, respectively. the keywords from the abstracts of papers with over the mean similarity score were more likely to be similar whereas those from below the average score were less likely to be similar. themes with high similarity scores include access, public transit, and policy, among others. further, clear differences in the key pattern of clusters for high and low similarity score abstracts was observed. contrarily, the findings from collocated keywords were inconclusive. the study findings suggest that chatgpt has the potential to be a source of transportation equity information. however, currently, a great amount of attention is needed before a user can utilize materials from chatgpt",2023-03-10
"does synthetic data generation of llms help clinical text mining?","ruixiang tang, xiaotian han, xiaoqian jiang, xia hu","computation and language","recent advancements in large language models (llms) have led to the development of highly potent models like openai's chatgpt. these models have exhibited exceptional performance in a variety of tasks, such as question answering, essay composition, and code generation. however, their effectiveness in the healthcare sector remains uncertain. in this study, we seek to investigate the potential of chatgpt to aid in clinical text mining by examining its ability to extract structured information from unstructured healthcare texts, with a focus on biological named entity recognition and relation extraction. however, our preliminary results indicate that employing chatgpt directly for these tasks resulted in poor performance and raised privacy concerns associated with uploading patients' information to the chatgpt api. to overcome these limitations, we propose a new training paradigm that involves generating a vast quantity of high-quality synthetic data with labels utilizing chatgpt and fine-tuning a local model for the downstream task. our method has resulted in significant improvements in the performance of downstream tasks, improving the f1-score from 23.37% to 63.99% for the named entity recognition task and from 75.86% to 83.59% for the relation extraction task. furthermore, generating data using chatgpt can significantly reduce the time and effort required for data collection and labeling, as well as mitigate data privacy concerns. in summary, the proposed framework presents a promising solution to enhance the applicability of llm models to clinical text mining.",2023-03-08
"nlp workbench: efficient and extensible integration of state-of-the-art text mining tools","peiran yao, matej kosmajac, abeer waheed, kostyantyn guzhva, natalie hervieux, denilson barbosa","computation and language","nlp workbench is a web-based platform for text mining that allows non-expert users to obtain semantic understanding of large-scale corpora using state-of-the-art text mining models. the platform is built upon latest pre-trained models and open source systems from academia that provide semantic analysis functionalities, including but not limited to entity linking, sentiment analysis, semantic parsing, and relation extraction. its extensible design enables researchers and developers to smoothly replace an existing model or integrate a new one. to improve efficiency, we employ a microservice architecture that facilitates allocation of acceleration hardware and parallelization of computation. this paper presents the architecture of nlp workbench and discusses the challenges we faced in designing it. we also discuss diverse use cases of nlp workbench and the benefits of using it over other approaches. the platform is under active development, with its source code released under the mit license. a website and a short video demonstrating our platform are also available.",2023-03-02
"a text mining analysis of data protection politics: the case of plenary sessions of the european parliament","jukka ruohonen","computers and society","data protection laws and policies have been studied extensively in recent years, but little is known about the parliamentary politics of data protection. this imitation applies even to the european union (eu) that has taken the global lead in data protection and privacy regulation. for patching this notable gap in existing research, this paper explores the data protection questions raised by the members of the european parliament (meps) in the parliament's plenary sessions and the answers given to these by the european commission. over a thousand of such questions and answers are covered in a period from 1995 to early 2023. given computational analysis based on text mining, the results indicate that (a) data protection has been actively debated in the parliament during the past twenty years. no noticeable longitudinal trends are present; the debates have been relatively constant. as could be expected, (b) the specific data protection laws in the eu have frequently been referenced in these debates, which (c) do not seem to align along conventional political dimensions such as the left-right axis. furthermore, (d) numerous distinct data protection topics have been debated by the parliamentarians, indicating that data protection politics in the eu go well-beyond the recently enacted regulations.",2023-02-20
"lightweight transformers for clinical natural language processing","omid rohanian, mohammadmahdi nouriborji, hannah jauncey, samaneh kouchaki, isaric clinical characterisation group, lei clifton, laura merson, david a. clifton","computation and language","specialised pre-trained language models are becoming more frequent in nlp since they can potentially outperform models trained on generic texts. biobert and bioclinicalbert are two examples of such models that have shown promise in medical nlp tasks. many of these models are overparametrised and resource-intensive, but thanks to techniques like knowledge distillation (kd), it is possible to create smaller versions that perform almost as well as their larger counterparts. in this work, we specifically focus on development of compact language models for processing clinical texts (i.e. progress notes, discharge summaries etc). we developed a number of efficient lightweight clinical transformers using knowledge distillation and continual learning, with the number of parameters ranging from 15 million to 65 million. these models performed comparably to larger models such as biobert and clinicalbiobert and significantly outperformed other compact models trained on general or biomedical data. our extensive evaluation was done across several standard datasets and covered a wide range of clinical text-mining tasks, including natural language inference, relation extraction, named entity recognition, and sequence classification. to our knowledge, this is the first comprehensive study specifically focused on creating efficient and compact transformers for clinical nlp tasks. the models and code used in this study can be found on our huggingface profile at this https url and github page at this https url, respectively, promoting reproducibility of our results.",2023-02-09
